X,Y,fid,id,@id,description,fixme,height,highway,lamp_model,lamp_mount,lamp_type,leaf_type,level,light:count,light:lit,light:power,light:tilt,man_made,operator,source,support,tower:type,Z_1
79819.6331458272,75602.0568112876,6968,node/11240865617,node/11240865617,,,,street_lamp,,,electric,,,,,,,,,,pole,,308.839996337891
79827.3436785879,75583.3824100521,6969,node/11240865618,node/11240865618,,,,street_lamp,,,electric,,,,,,,,,,pole,,311.117492675781
79487.2077429235,75466.3159173901,6970,node/11407110434,node/11407110434,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,304.890014648438
79759.6270739397,75518.2523206064,6971,node/11407173073,node/11407173073,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,317.665008544922
79770.7637894739,75524.3247174773,6972,node/11407173074,node/11407173074,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,319.807495117188
79741.6102374493,75507.8425124001,6973,node/11407173075,node/11407173075,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,305.570007324219
79734.0022309975,75558.0930713495,6974,node/11407179664,node/11407179664,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,300.177490234375
79604.5311806496,75500.7086219803,6975,node/11407179665,node/11407179665,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,301.372497558594
79805.8868480613,75249.8603007893,6976,node/11407180979,node/11407180979,,,,street_lamp,,,,,,,,,,,,,,,330.579986572266
79714.784853034,75344.5023284489,6977,node/11407180982,node/11407180982,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,319.114990234375
79684.2303033233,75375.6014250875,6978,node/11407180983,node/11407180983,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,314.632507324219
79671.9964140678,75405.4763338184,6979,node/11407180984,node/11407180984,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,312.925018310547
79683.510562001,75439.7545306477,6980,node/11407180985,node/11407180985,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,310.70751953125
79709.8897044545,75460.6075763834,6981,node/11407180986,node/11407180986,,,,street_lamp,,bent_mast,electric,,,,,,,,,,pole,,317.637512207031
79372.8735087031,75419.6909740245,6982,node/11407181033,node/11407181033,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,306.892486572266
79344.4052923596,75408.1935937741,6983,node/11407181034,node/11407181034,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,306.595001220703
79318.0906068092,75396.785096154,6984,node/11407181035,node/11407181035,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,308.375
79297.4638327653,75388.5681391981,6985,node/11407181036,node/11407181036,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,308.614990234375
79277.4873838422,75379.9952703604,6986,node/11407181037,node/11407181037,,,,street_lamp,,straight_mast,electric,,,,,,,,,,pole,,307.442504882812
